"","SYMBOL","KKKD131","KKKD068","KKU055","KKU213C","KKU213A","SSP25","KKU213B","RBE","TFK1"
"1","ABCG1",18.97,0.91,0.92,21.48,7.8,0.29,3.06,1.45,2.76
"2","ADAM19",19.04,36.82,0,0.56,2.42,0.52,0.04,0.35,0.53
"3","ADAM28",43.34,1.56,0.11,17.19,2.75,3.11,3.17,10.12,10
"4","ADGRF4",24.77,8.12,0,9.39,9.11,2.89,11.46,0.06,11.67
"5","ADH1C",7.77,2.42,0,11.59,0,0.04,0.56,0.32,3.89
"6","AMT",13.51,0.19,1.56,0.19,0.1,0.24,1.41,1.31,0.04
"7","ANKRD1",213.01,8.31,43.18,26.68,3.08,34.68,2.79,37.22,1.01
"8","ANKRD22",67.03,8.65,1.92,33.12,21.91,2.09,33.03,0.67,14.67
"9","ANKRD65",38.43,0.32,0.16,11.17,34.77,0.1,32.18,0.04,0.16
"10","ANTXR1",35.53,34.89,24.11,0.32,0.17,42.37,0.23,3.85,1.37
"11","APOBEC3F",15.99,11.97,3.62,4.52,3.75,2.53,0.59,1.24,0.36
"12","APOBEC3G",60.55,44.89,1.77,4.61,7.03,0.75,0.46,0.22,0.18
"13","APOE",17.66,63.69,2.71,0.15,0.6,1.45,0.39,1.34,4.47
"14","AQP3",121.92,4.94,0.03,48.37,51.25,1.67,41.78,0.97,23.68
"15","ARHGAP25",11.73,3.25,0.28,4.53,3.71,0.74,2.56,3.74,0.04
"16","ARHGAP27",50.03,15.68,8.5,6.46,10.08,5.24,6.55,11.33,40.74
"17","ARHGAP4",14.05,0.93,3.18,0.66,1.23,0.04,1.17,5.49,0.48
"18","ARID3A",18.15,2.7,17.71,3.3,1.98,3.17,1.35,1.35,0.66
"19","ARMCX1",17.44,19.29,0.12,1.88,6.18,22.82,3.11,0.1,0
"20","AS3MT",10.61,6.15,2.51,0,0,0.88,0,6.11,0.94
"21","BEX2",11.17,21.56,9.88,0,0,3.41,0,1.86,0.17
"22","BEX4",32.87,2.21,0,0.14,0,2.93,0,0.17,0.07
"23","BMP2",19.51,3.69,0.02,6.96,2.99,1.45,6.13,1.34,7.62
"24","BMS1P13",15.57,6.09,0,5.52,2.85,0.05,5.05,2.2,0.26
"25","BRCC3",0.39,40.87,44.58,21.94,27.59,37.44,38.61,48.55,21.65
"26","BRSK1",9.66,17.96,3.36,0,0.36,0.64,0.25,1.19,0.71
"27","C20orf96",16.1,9.61,7.78,1.11,0.98,3.47,1.75,8.31,1.3
"28","C6orf141",63.25,11.66,3.17,17.17,18.1,3.45,10.24,14.8,17.33
"29","CCDC152",74.95,6.06,0.05,0.19,0.07,0,0.06,0.1,0.02
"30","CCDC169",14.01,10.67,0.16,4.32,0.87,6.89,1.52,0.31,0.18
"31","CCL28",19.09,20.85,0.12,4.59,4.06,3.74,4.25,0.23,0.97
"32","CCND1",565.68,98.21,211.1,68.5,159.04,128.63,72.18,192.8,234.05
"33","CCNG2",87.56,23.49,14.56,48.93,31.64,11.96,45.19,10.18,6.67
"34","CD109",212.5,59.37,1.24,13.32,19.42,39.28,25.02,32.74,2.32
"35","CD40",61.72,21.8,0.06,7.23,0.11,0.33,0.92,9.02,0
"36","CDC42EP5",52.95,3.45,1.96,19.7,8.62,0.2,8.21,0.82,1.8
"37","CDH6",31.06,0.87,1.32,0.03,0.04,2.02,0.02,62.39,0.11
"38","CEACAM1",12.35,1.16,0.83,3.82,0.18,0.14,0.1,4.06,4.56
"39","CEACAM5",90.76,0.32,0.14,1.07,0.11,0.19,0.22,0.12,94.63
"40","CEACAM6",86.41,0.12,0.23,3.95,0.12,0.27,1.76,1.16,227.86
"41","CELF2",21.6,0.75,0,0.36,0,0.46,0.05,3.97,0.01
"42","CLDN10",12.12,0.52,0.07,0.14,0.12,0.05,0.11,31.68,0
"43","COL8A1",24.99,3.57,0.06,2.32,0.9,29.28,1.47,0.24,0.32
"44","CORO1A",68.68,2.12,3.52,20.01,15.39,1.21,6.79,2.79,2.45
"45","CPVL",37.49,3.48,11.85,15.67,18.11,3.05,22.06,8.19,0.16
"46","CRISPLD1",12.13,0.34,0.18,0.95,0.51,2.52,2.23,0,0.09
"47","CST1",258.81,151.85,0,0.5,0.28,0,0.16,1.41,0
"48","CST4",31.83,79.92,0,1.77,0.87,0,0,0.12,0.14
"49","CTHRC1",16.65,1.56,4.86,0.7,3.48,6.96,1.89,0.06,1.56
"50","CXCL5",65.83,0.13,0.7,94.37,4.82,61.56,3.37,0.08,0.06
"51","CYB5R4",91.21,17.63,10.93,36.07,33.47,24.74,33.54,11.1,17.41
"52","DAB2",48.53,7.04,5.03,17.91,7.55,45.59,6.46,12.96,10.13
"53","DAP",558.76,154.29,68.14,100.5,80.34,157.76,90.88,81.46,204.51
"54","DAPP1",48.96,10.54,0,16.17,22.03,4.8,12.56,0.1,14.98
"55","DCP1B",45.52,10.76,10.4,0.99,4.38,5.6,7.36,9.14,0.08
"56","DDR1",19.55,0.14,0,0.17,0,0,0.12,0,2
"57","DHRS9",14.71,0.2,0.03,10.9,0.12,0.25,0.63,0.08,7.2
"58","DLG4",15.78,11.27,20.07,0.04,1.28,9.42,0.31,4.17,0.12
"59","DLL1",19.86,0.18,0.31,11.44,3.59,0,0.99,0.86,0.5
"60","DLX1",6.28,2.63,1.09,0.09,0.19,10.88,0.13,0.3,0.15
"61","DOCK4",15.89,2.48,2.13,4.19,0.98,3.69,0.71,11.88,1.59
"62","DOCK9",115.2,20.66,10.72,21.01,13.41,16.11,17.04,21.2,17.71
"63","DTNA",24.13,9.6,0.23,2.79,2.72,10.6,4.86,20.38,0.59
"64","DUXAP8",12.77,7.83,0,1.27,7.19,0,2.62,0.22,0
"65","DZIP1",10.25,1.26,17.38,1.09,4.15,3.07,0.13,1.55,0.02
"66","EFEMP1",228.52,75.19,0.88,0.42,0.66,13.93,2.83,2.82,3.84
"67","ELOVL4",15.81,9.9,0,0.03,0,6.83,0,0,0
"68","EMILIN2",15.69,7.07,3.89,0.01,0,7.93,0,0.02,10.33
"69","ENTPD3",11.61,0.03,0.05,6.54,3.34,0.05,5.27,0.22,1.4
"70","EPB41L4A",15.38,2.65,2.61,3.34,0.45,3.08,0.87,7.79,30.52
"71","EPHA4",17.5,5.42,2.88,2.03,0,5.57,0.6,1.66,3.53
"72","EPS8L1",29.18,2.81,0,9.38,6.74,0.52,7.93,0.12,42.34
"73","EVA1A",113.73,88.52,0.32,7.02,15.14,36.05,21.27,0.65,0
"74","EXT2",171.45,65.77,53.61,47.07,42.44,48.43,37.31,35.61,13.56
"75","EYA2",30.34,1.78,0.28,0.38,11.45,1.41,0.29,0,0.03
"76","F2RL1",241.33,51.16,6.13,78.49,35.02,10.81,33.29,24,56.08
"77","FAM210B",53.58,12.95,4.01,12.95,11.75,8.83,9.99,10.51,3.21
"78","FAM43A",33.64,1.03,0.54,0.16,0.65,6.37,0,0.76,0.1
"79","FAM83F",12.33,0.04,0.03,6.55,7.05,1.09,2.54,0.01,11.6
"80","FBN2",31.23,1.16,0,0.16,0,0.02,0.01,0.1,0.07
"81","FCGRT",35.13,18.82,1.49,0.91,0.21,0.76,0.59,13,4.52
"82","FERMT1",230.66,12.48,6.92,67.17,54.6,9.43,74.49,8.55,13.38
"83","FGFR2",12.85,0.2,2.14,4.92,13.38,0.25,10.27,1,1.12
"84","FHOD3",22.07,18.38,2.49,3.66,3.69,7.18,1.49,9.88,0.62
"85","FKBP1B",10.56,1.89,1.63,1.38,4.46,1.15,3.22,1.1,0.75
"86","FLI1",11.59,9.92,0.06,0.04,0,16.61,0,1.42,0.04
"87","FOXD1",44.05,33.14,7.27,0,0.04,17.93,0,4.14,5.1
"88","FUNDC2",0.11,91.73,52.18,63.54,140.89,112.98,111.19,78.57,44.73
"89","FUOM",40.5,14.92,4.44,0.2,0,2.14,0,0.13,5.12
"90","GAL",100.86,12.9,47.03,46.1,5.12,11.51,12.64,0.11,1.5
"91","GALNT5",77.37,6.13,0.23,30.78,16.06,9.23,33.71,0.06,0.19
"92","GALNT6",127.68,11.12,0.72,7.16,8.72,11.13,3.21,0.16,7.6
"93","GATA3",19.51,6.71,0.34,0.42,1.89,6.86,0.82,3.14,5.59
"94","GBP6",40.85,0.11,0.06,6.03,5.14,0.86,6.69,0.14,0.06
"95","GJB2",230.75,1.72,1.15,37.74,7.52,1.6,2.53,3.18,16.04
"96","GJB6",75.71,1.08,0.04,0.3,0,0.05,0.08,0.05,0.77
"97","GMFG",67.49,3.29,1.32,1.63,1.99,0.39,1.85,0.35,0
"98","GPC4",17.32,0.43,42.97,0.23,1.74,3.78,0.03,7.2,0.33
"99","GPR153",21.36,4.13,2.59,29.74,11.26,1.54,7.62,1.98,1.79
"100","GPRC5B",36.53,10.91,0.11,2.5,0.12,16.58,0.21,13.15,2.34
"101","GPSM3",20.28,6.03,0,11.02,8.81,10.41,0.58,11.83,0.3
"102","GRHL3",17.55,0.28,0.28,5.05,4.65,0.3,4.59,3.14,1.32
"103","GRK5",66.83,7.12,2.16,18.01,16.09,7.62,13.48,9.82,4.47
"104","GSTT1",61.58,14.09,13.14,0.33,0.02,32.43,0.5,0.48,58.37
"105","HAS2",15.64,8.12,15.35,0.21,0.24,0.13,0.03,0,0.09
"106","HOXB7",66.67,49.44,35.8,0,0,11.4,0,0.05,21.37
"107","HOXB9",17.86,19.18,70.68,0.03,0.09,4.07,0.08,0.52,1.09
"108","HOXC10",30.33,32.56,0.05,0.96,1.3,0,0.57,0,0.04
"109","HS6ST2",25.27,0.73,0.61,0.05,0.6,5.38,0.4,8.77,10.33
"110","HTR7",15.3,3.2,0,6.52,5.45,4.96,7.13,0.13,0.03
"111","ICAM2",20.06,6.8,0.24,21.09,11.96,0.35,3.34,3.65,0.52
"112","IGF2",39.23,1.58,0.83,0.1,0.02,0,0.05,1.28,0.26
"113","IGF2BP1",41.82,35.85,14.15,0.2,0.58,29.67,0.02,0.28,1.01
"114","IL23A",33.55,6.65,0.31,3.29,6.77,2.12,1.6,0.98,1.36
"115","IL7R",75.68,12.73,0.03,2.87,1.71,165.37,1.45,0.22,0.83
"116","IRF7",12.55,0,0,1.15,3.62,4.64,0.33,2.4,9.37
"117","ISM1",23.4,8.31,0.32,7.21,0.59,0.08,1.43,0.62,0
"118","ITGB8",29.85,16.48,8.97,2.03,3.97,5.79,2.75,1.83,1.89
"119","ITGBL1",70,115.38,0,9.09,37.86,15.05,6.4,0.11,0.11
"120","KCNJ15",15.51,0.43,0.1,3.34,0.46,0.34,0.27,0.21,0.04
"121","KCNQ5",16.44,0,0.33,0.02,0,0.64,0,1.12,0
"122","KIAA0040",30.47,3.61,0.35,20.59,16.94,1.05,17.05,1.16,17.91
"123","KRT13",131.04,0.84,0,13.77,15.35,1.02,173.06,0.42,11.8
"124","KRT6A",255.5,0.8,0,106.9,32.81,3.59,141.82,0.13,4.65
"125","LAPTM5",257.81,12.29,0,103.69,236.95,7.8,37.08,1.76,0.07
"126","LBH",54.39,14.93,0.2,0.33,0.9,15.3,0.02,52.12,2.25
"127","LCA5",13.29,5.62,1.96,3.03,2.47,3.36,2.76,2.76,0.17
"128","LCK",12.4,1.38,0.04,2.53,4.99,0.2,1.2,0.22,0
"129","LIMD2",58.26,17.23,15.98,1.78,2.52,13.7,0.14,0.73,3.22
"130","LIMS4",27.12,0.12,0,0.13,0,0.1,0.41,0,0.53
"131","LIPG",189.8,54.39,9.23,13.99,12.42,7.77,7.32,8.69,29.21
"132","LMBRD1",111.25,28.07,8.23,34.48,26.89,19.18,19.83,24.6,35.46
"133","LMO2",11.09,0.16,2.17,2.16,1.56,1.22,0.05,1.19,0.77
"134","LPXN",225.13,6.21,5.23,33.2,46.3,69.55,4.12,8.81,4.02
"135","LRIG1",64.04,0.81,5.36,2.84,0.96,35.5,0.76,11.48,11.95
"136","LRP10",292.56,76.67,31.46,105.48,60.14,78.58,43.43,78.83,109.52
"137","LRRN1",12.97,0.19,1.02,14.19,0.18,7.92,0.96,0,0.02
"138","LTBP2",19.62,13.58,0.72,2.62,1.96,6.52,1.06,6.1,0.62
"139","MACC1",133.15,16.09,1.64,15.01,14.35,14.53,27.29,0.11,29.88
"140","MAGED4",16.56,5.72,5.61,0,0.32,25.62,0,0.02,0
"141","MAGED4B",16.04,3.61,0.52,0.03,0.25,11.55,0.1,0.03,0.95
"142","MAML2",23.76,10.33,1.29,9.32,1.71,8.24,8.84,3.25,0.78
"143","MAPK11",19.91,6,8.91,2.06,4.39,3.74,2.97,6.71,0.47
"144","MAPKAPK3",12.39,71.72,59.44,68.61,64.01,41.69,64.76,75.93,21.09
"145","MGMT",22.62,2.47,17.29,0.1,0.05,0.49,0.04,27.47,5.95
"146","MIPOL1",25.49,2,6.86,9.79,5.97,5.4,5.53,6.55,1.98
"147","MMP10",28.32,0.25,2.52,2.4,0.68,0.08,0.89,0.24,0
"148","MMP2",10.77,53.26,0,0,0.51,5.33,0.25,0,0
"149","MRPS36",0,19.07,30.66,20.69,32.92,18.38,37.35,26.63,41.98
"150","MVB12B",15.74,5.65,5.81,0.41,0.58,5.83,0.74,8.89,0.56
"151","MX2",35.98,49.97,0.84,3.89,2.21,0.4,1.32,1.1,3.84
"152","MYEOV",295.34,83.46,41.27,57.24,24.01,48.53,5.03,28.26,111.02
"153","MYH14",17.52,5.31,0.17,2.56,2.27,0.93,2.62,3.66,48.76
"154","MYO6",139.67,31.67,7.58,49.28,35.94,22.1,30.97,27.24,22.14
"155","NID1",30.57,11.07,11.04,0.09,0.04,32.02,0.01,22.89,0.22
"156","NOG",15.49,4.46,1.76,0.04,0.13,1.11,0.27,5.31,0.53
"157","NUAK1",46.61,10.03,12.05,5.56,5.94,13.77,5.22,5.82,3.69
"158","OTULINL",35.73,1.38,0.23,4.29,5.54,3.91,4.06,2.9,9.54
"159","PAK1",207.81,35.03,19.46,78.71,39.4,61.88,76.02,13.55,35.74
"160","PCDHB2",15.49,0.34,0,0.84,1.18,0.1,0.51,8.49,5.39
"161","PCDHB8",11.51,0,0,0.06,0,0,0,5.03,0.15
"162","PCDHGC3",42.86,14.8,11.04,4.23,10.64,25.3,3.88,12.31,7.45
"163","PDE9A",16.94,0.12,0.44,0,0.36,0.63,0,13.24,5.93
"164","PDGFB",50.24,9.85,5.81,20.33,21.96,9.16,8.57,25.92,5.12
"165","PDZD2",17.48,5.59,0.02,3.21,6.21,6.4,7.89,0.02,0.18
"166","PGF",41.56,2.1,0.41,3.74,15.01,0.74,3.51,0.46,0.35
"167","PGM2L1",22.41,6.85,0.5,2.3,2.4,3.7,4.64,2.43,0.94
"168","PHACTR3",144.36,0.29,0.23,4.07,2.61,0.19,2.43,0.25,1.01
"169","PKIA",20.68,13.91,0,1.91,0.72,10.18,1.94,6.56,0.02
"170","PLBD1",28.78,23.89,20.79,0.68,3.43,19.27,1.63,0.06,0.03
"171","PLEKHG5",16.44,2.69,2.44,4.91,5.12,3.47,3.84,0.87,1.9
"172","PLSCR3",74.33,23.22,11.51,20.94,24.95,45.07,17.2,7.75,3.06
"173","PLTP",49.25,29.02,50.89,0.35,0.33,1.73,1.51,0.05,0.32
"174","PODXL",130.28,46.14,9.68,17.35,4.78,40.72,3.1,15.76,11.17
"175","POU2F2",30.95,14.14,0.02,9.78,1.17,1.09,1.93,0.17,0.27
"176","PPP1R14A",8.8,22.16,0.2,0,0,1.82,0,0,0
"177","PQLC2L",12.09,8.44,1.55,1.03,2.32,10.54,0.67,0.1,0.16
"178","PRAG1",33.09,10.6,1.57,0.97,31.09,6.12,11.84,3.5,18.83
"179","PROM1",34.64,0.56,9.04,7.54,0.22,0.03,0.21,0.6,0.17
"180","PRSS8",33.03,4.84,0,6.19,10.04,7.17,26.59,0.41,27.04
"181","PSMB9",14.27,1.28,0,1,2.19,70.62,1.01,0.83,0.58
"182","PTGS2",57.58,23.71,0.21,27.85,5.16,2.58,9.71,0.04,22.78
"183","PTK6",48.59,3.78,0.17,21.02,27.08,2.24,14.21,0.44,16.75
"184","PTPRE",35.75,9.22,2.27,8.29,15,6.19,8.42,2.89,11.08
"185","PTX3",43.46,87.26,0.22,0.52,0,19.12,0,0.07,1.42
"186","QPCT",29.38,42.28,5.14,6.16,7.35,0.13,1.36,0,1.31
"187","RAB30",54.09,5.27,2.27,6.34,14.62,11.25,9.03,9.21,0.72
"188","RAB37",14.7,1.88,0,1.68,2.41,0,0.41,0.89,6.43
"189","RAI14",479.72,30.38,26.97,99.58,28.89,197.48,42.74,38.85,67.85
"190","RAP1GAP2",18.17,6.16,0.38,1.67,0.72,2.67,0.67,6.97,8.88
"191","RASGRF2",16.07,1.32,0.01,0.03,0,0.39,0,2.75,0.03
"192","RCN3",14.74,1.02,1.12,0.37,0,0,0.08,0.23,0.14
"193","RETREG1",11.98,3.31,1.87,1.68,1.46,0.54,0.87,1.24,9.74
"194","RGCC",119.7,100.34,4.52,8.57,7.45,6.91,3.47,3.66,22.54
"195","RILP",16.5,10.01,0.66,3.3,2.4,3.8,5.88,1.67,5.32
"196","RIN3",20.62,5,2.06,0.14,0.46,8.6,0.14,5.55,9.28
"197","RING1",49.7,48.28,0,28.02,33.93,0.29,0,1.11,0
"198","RNF141",105.1,20.52,19.52,57.37,20.07,22.63,24.44,17.03,29.38
"199","RPH3AL",21.28,1.63,1.02,5.09,4.17,2.96,1.46,3.34,3.14
"200","RPS6KA2",21.71,0.86,0.84,10.53,3.75,3.62,0.19,4.29,9.27
"201","RTKN2",30.89,10.51,16.95,1.94,5.8,9.91,4.6,5.41,0.72
"202","S100P",19.1,0.22,1.51,10.11,0.64,0.29,3.21,0.29,43.92
"203","SALL4",18.32,0.45,58.88,1.18,0.89,0.32,0.95,0.02,0.88
"204","SCGB1A1",29.29,0,0,8.12,4.65,0,5.83,0,0
"205","SDR16C5",46.88,1.05,0.1,23.22,16.02,0.68,12.36,0.03,2.06
"206","SH3BGRL2",37.59,6.13,2.43,7.09,4.05,6.11,4.98,4.42,12.09
"207","SH3BP1",49.16,6.02,2.76,43.65,20.16,1.7,13.35,1.03,3.31
"208","SHH",23.16,21.92,16.4,0.57,1.46,0,0.02,8.86,10.45
"209","SHISA2",14.76,6.53,0.44,0.43,0.67,1.17,0.02,0.02,0.06
"210","SHROOM2",13.11,2.06,0.23,5.26,5.54,0.01,5.73,0,0.71
"211","SIX1",21.48,6.07,6.42,0.48,0.44,7.37,0.32,0.19,0.12
"212","SLC12A2",72.63,25.22,22.19,7.82,8.3,11.55,12.04,16.42,18.79
"213","SLC14A1",34.3,3.11,0.09,0.04,0.13,0.09,0.19,0.63,0.28
"214","SLC22A15",29.87,5.52,0.92,3.9,7.75,7.52,9.68,3.17,8.43
"215","SLC22A20P",45.42,2.4,1.47,5.69,4.37,1.89,4.74,2.23,1.92
"216","SLC2A10",8.9,2.61,0.95,0.35,1.21,10.56,0.31,0.31,0.05
"217","SLC2A12",20.52,5.73,0.14,10.18,9.99,3.41,5.61,2.46,0.28
"218","SLC4A11",157.9,4.47,3,37.13,8.92,1.27,20.77,13.96,5.47
"219","SLC52A3",15.77,4.33,0,1.77,0.69,0.68,1.6,0.1,7.15
"220","SMIM11A",33.96,4.45,3.34,2.39,16.54,20.15,2.4,22.06,14.55
"221","SNCA",40.77,3.8,10.67,0.69,0,17.87,0,0.75,9.41
"222","SNX14",275.75,106.41,31.29,55.18,84.09,81.05,29.84,77.69,54.77
"223","SORBS2",19.08,4.18,11.25,2.78,2.28,19.32,0.85,13,0
"224","SORL1",32.86,9.54,1.2,7.83,5.01,3.79,3.5,5.58,6.63
"225","SOWAHB",22.49,2.12,0.1,10.68,13.42,0.57,8.26,0.1,5.03
"226","SOX2",32.82,0.07,0.13,0.03,0,0.43,0,0,0.16
"227","SOX21",7.42,0,0.06,0.41,0.46,0.1,0,0.02,17.16
"228","SOX4",139.45,17.15,110.35,7.33,7.6,11.51,8.95,54.48,17.93
"229","SPDEF",26.95,0.05,0.05,18.5,0.54,0,0.16,3.51,26.55
"230","SPEF2",17.52,3.91,1.15,1.66,0.22,3.05,2.14,3.36,3.83
"231","SPOCD1",36.5,17.89,0.04,0.58,1.7,37.69,0.31,1.87,4.09
"232","SPRR3",10.21,0,0,26.57,0.23,0,6.29,0,9.12
"233","SRGN",174.42,477.14,1.11,0.31,0.53,257.7,0.13,0.5,0.15
"234","ST3GAL5",27.97,5.44,2.48,11.54,1.92,3,1.67,52.64,9.77
"235","SULF2",111.43,27.84,1.5,3.14,24.61,0.11,3.31,13.64,2.75
"236","TAGLN",118.22,41.23,66.36,1.55,2.61,16.71,1.7,2.06,5.91
"237","TBX18",14.06,0,0,0.01,0,34.4,0.04,0.04,17.65
"238","TCF19",14.72,0.15,13.71,0,0.06,0,0,20.76,7.41
"239","TCF7L1",20.36,0.92,9,0.58,0.57,2.73,0.8,0.39,0.79
"240","TCIM",19.9,6.06,0.05,1.56,0.05,0,0.04,4.75,1.04
"241","TCN1",16.09,0.28,0,0.61,0.46,2.19,0.24,6.11,21.34
"242","TCN2",23.91,15.69,3.21,1.57,1.64,2.63,0.95,6.25,7.27
"243","TFF1",22.36,0,0,0.97,0,0.19,0.41,0.59,236.43
"244","TFF2",47.71,0.58,0,0,0,0,0.16,0,0.29
"245","TFPI2",115.46,26.14,0,0.17,0.67,8.16,0.44,46.32,31.56
"246","TGFB1I1",24.39,19.89,6.1,1.6,3.51,13.04,4.51,6.52,0.1
"247","TIMP3",63.71,790.44,0,9.68,0.17,0.13,1.45,0.26,0.13
"248","TLR4",69.17,4.61,0,0.47,3.67,0.56,1.14,1.95,0.54
"249","TMEM154",48.03,6.71,0.18,18.76,12.02,18.77,9.3,1.29,27.64
"250","TMEM178A",36.69,1.85,30.95,0.16,0.3,0.06,0,0.68,0.24
"251","TMEM200A",14.29,13.12,0,0.03,0.06,22.68,0.02,0.09,0
"252","TMEM30A",431.52,144.81,30.51,62.95,70.05,110.72,40.69,73.87,43.3
"253","TMEM92",23.4,8.01,0,7.12,2.88,6.77,0.41,2.6,23.94
"254","TMEM98",45.82,2.2,5.51,21.87,14.01,17.08,26.65,0.34,2.56
"255","TMPRSS3",11.78,1.82,0.04,0.38,0.53,0.21,1.8,0.03,4.4
"256","TMPRSS4",66.58,1.9,0.07,41.48,2.64,0.09,6.07,0.05,23.13
"257","TNNI3",16.17,24.29,0,2.07,3.56,0.21,0.45,0.2,0.16
"258","TPBG",160.81,13.09,19.85,35.91,38.66,23.45,15.96,11.77,33.23
"259","TRPM2",24.97,8.11,0,11.03,0.05,2.14,0.05,0,8.63
"260","TRPV2",47.03,19.05,0,3.74,0.57,0.32,0.53,0.5,0
"261","TSPAN2",8.19,15.52,0,0.05,0.52,11.68,0.22,0.48,0.38
"262","TSPYL5",6.89,0.96,0,0,0,22.74,0,0.03,1.5
"263","TUBB",744.77,0,10.11,11.63,16.15,7.84,16.92,8.68,2.95
"264","UBE3D",15.63,2.19,3.68,3.67,6.22,5.44,3.17,1.93,1.36
"265","UGT1A10",107.07,45.09,0,0.34,0.34,140.94,0,0.16,0.46
"266","UPK1B",25.33,1.39,0,0.09,0,4.96,0.15,0.5,0.73
"267","UTS2",12.37,9.74,3.46,1.28,1.87,0.09,1.33,0,0.6
"268","VAV1",21.75,6.75,0.43,1.32,1.6,0.88,0.2,0.19,39.74
"269","WASH6P",67.21,11.17,11.69,13.13,11.36,8.26,11.94,14.69,12.94
"270","WDR72",23.35,1.55,0.99,17.82,2.82,1.56,15.97,4.68,12.35
"271","WFDC2",246.45,55.28,0,17.76,46.55,26.49,15.24,0.33,3.06
"272","WISP3",19.29,24.98,0.1,0.26,0.03,0.68,0.06,0,0.1
"273","ZBED2",41.45,0.33,0,10.89,11.52,5.84,4.21,0.26,0.18
"274","ZNF229",14.71,0.13,1.1,0.1,6.26,0.98,0.28,4.87,0.03
"275","ZNF365",13.97,4.75,0.5,0.09,0.29,5.22,0.1,1.53,0.15
"276","ZNF532",38.08,15.47,37.41,2.92,6.33,16.62,2.66,2.01,2.8
