"","SYMBOL","Gene","ENTREZID","iNKT_VD1","iNKT_VD2","DysiNKTD1","DysiNKTD2"
"1","ABLIM1","ENSG00000099204",3983,60.762895,50.418531,129.599418,73.807816
"2","ACTB","ENSG00000075624",60,1630.529418,2701.758023,1862.987352,3019.85347
"3","ADGRL1","ENSG00000072071",22859,38.427974,29.124363,12.131667,1.871708
"4","AGRN","ENSG00000188157",375790,21.341764,18.262462,8.164943,3.615919
"5","AMY2B","ENSG00000240038",280,15.088753,11.453163,23.520735,11.479907
"6","ANKRD13B","ENSG00000198720",124930,18.826725,28.669613,8.729156,8.052836
"7","ANKRD42","ENSG00000137494",338699,12.714804,10.866457,6.767404,3.058662
"8","APLP1","ENSG00000105290",333,50.058468,32.387395,1.59721,0.25903
"9","APOBR","ENSG00000184730",55911,3.501936,7.902696,28.374633,65.763588
"10","APOLD1","ENSG00000178878",81575,25.451118,25.861074,23.71919,14.054066
"11","ARMC5","ENSG00000140691",79798,2.187365,2.876091,3.231901,6.753304
"12","ARSB","ENSG00000113273",411,0.743018,2.069139,3.868031,5.472301
"13","ASIC3","ENSG00000213199",9311,11.767383,11.709187,9.822034,6.309922
"14","ATF5","ENSG00000169136",22809,1.705771,4.520443,8.710494,9.144426
"15","ATG2A","ENSG00000110046",23130,78.003895,80.516084,100.377658,70.841258
"16","ATP6V0A1","ENSG00000033627",535,25.612225,26.409018,21.284781,13.15881
"17","ATP8A1","ENSG00000124406",10396,151.801285,81.91401,252.171821,89.879911
"18","BAIAP3","ENSG00000007516",8938,29.524659,52.850648,11.317486,14.998341
"19","BCL2L1","ENSG00000171552",598,27.615325,39.123531,34.552187,51.183234
"20","BICDL1","ENSG00000135127",92558,80.491412,70.697211,121.713156,101.287026
"21","C1QTNF6","ENSG00000133466",114904,23.91918,19.942247,50.01842,28.091487
"22","C20orf96","ENSG00000196476",140680,10.103038,13.316008,3.540034,2.826086
"23","C2orf92","ENSG00000228486",728537,23.430347,25.610015,22.408581,11.099442
"24","CA11","ENSG00000063180",770,33.39734,30.593606,52.437808,19.625607
"25","CAMK1","ENSG00000134072",8536,3.414908,4.638548,6.400419,10.489164
"26","CCDC183","ENSG00000213213",84960,41.547136,36.487412,11.793553,4.421805
"27","CCDC65","ENSG00000139537",85478,5.619747,5.062751,7.411996,17.528975
"28","CCDC74A","ENSG00000163040",90557,30.216472,24.957071,29.656486,9.232251
"29","CCDC74B","ENSG00000152076",91409,27.060111,16.274136,20.501697,6.799238
"30","CD40LG","ENSG00000102245",959,42.786834,61.924561,66.112694,96.923957
"31","CD79B","ENSG00000007312",974,6.567867,13.620566,22.543796,28.050108
"32","CDH24","ENSG00000139880",64403,13.202012,18.080002,3.812292,2.133966
"33","CENPN","ENSG00000166451",55839,5.52467,9.782589,10.961964,11.694499
"34","CFAP119","ENSG00000196118",90835,14.914745,18.546504,3.845303,1.306136
"35","CFAP44","ENSG00000206530",55779,15.389244,14.10593,20.490737,7.419519
"36","CFD","ENSG00000274619",1675,18.230438,12.285148,6.682038,1.370281
"37","CISH","ENSG00000114737",1154,38.61409,45.839063,38.692198,53.423207
"38","CKB","ENSG00000166165",1152,22.132825,26.743945,7.157539,1.615421
"39","CLN6","ENSG00000128973",54982,6.217597,11.58142,7.486528,8.524646
"40","COL1A1","ENSG00000108821",1277,13.085658,12.956074,4.00442,0.093806
"41","CORO1A","ENSG00000102879",11151,338.979906,432.462359,694.392697,1037.10522
"42","CORO6","ENSG00000167549",84940,31.099947,37.839493,9.657531,2.280639
"43","CRIP2","ENSG00000182809",1397,55.503684,49.289212,3.215668,0.666961
"44","CSF1","ENSG00000184371",1435,11.184724,14.629978,50.286284,48.894813
"45","CSF2","ENSG00000164400",1437,2.455121,6.099205,4.218736,9.356203
"46","CTIF","ENSG00000134030",9811,18.333477,14.941791,4.077986,2.406164
"47","CTSW","ENSG00000172543",1521,35.189994,29.209963,103.899748,69.182402
"48","CX3CR1","ENSG00000168329",1524,13.833536,6.764167,13.566329,6.25871
"49","CXCL16","ENSG00000161921",58191,16.092612,21.868475,10.492268,6.540197
"50","D2HGDH","ENSG00000180902",728294,88.617957,70.373162,129.328617,66.599111
"51","DDIT4","ENSG00000168209",54541,263.819863,170.870461,296.193163,152.823688
"52","DMTN","ENSG00000158856",2039,2.938182,2.976264,15.375584,16.849546
"53","DNAJA4","ENSG00000140403",55466,3.163911,3.021496,14.738285,15.735846
"54","DNHD1","ENSG00000179532",144132,36.943352,26.374883,26.745315,12.47172
"55","DNLZ","ENSG00000213221",728489,5.635636,5.152535,12.347714,16.803837
"56","DNM1","ENSG00000106976",1759,15.990807,13.798224,2.201759,1.094346
"57","DPP3","ENSG00000254986",10072,7.735204,11.460602,10.427447,20.564517
"58","DUSP1","ENSG00000120129",1843,18.806282,29.63782,18.163801,43.718442
"59","DUSP2","ENSG00000158050",1844,79.915333,83.125979,89.142421,76.978201
"60","DUSP6","ENSG00000139318",1848,13.20363,10.751572,14.522115,24.594792
"61","EEF1A2","ENSG00000101210",1917,18.804414,11.012688,3.121718,2.031553
"62","EFEMP2","ENSG00000172638",30008,26.543574,16.577613,15.255362,10.818338
"63","ENKD1","ENSG00000124074",84080,23.326786,21.811928,14.092612,7.285751
"64","EPHA1","ENSG00000146904",2041,22.858263,17.230233,23.543905,12.173675
"65","EPS8L1","ENSG00000131037",54869,26.839754,22.348504,20.482937,6.894102
"66","EXD3","ENSG00000187609",54932,37.922624,37.772781,22.891621,16.52253
"67","F11R","ENSG00000158769",50848,21.825367,24.976894,22.31298,9.331155
"68","FADS2","ENSG00000134824",9415,22.162034,23.677228,36.661594,51.563121
"69","FBXL16","ENSG00000127585",146330,31.266039,36.709801,24.873705,15.403829
"70","FBXO6","ENSG00000116663",26270,5.793503,4.244566,14.111092,14.039749
"71","FER1L4","ENSG00000088340",80307,17.031091,19.347456,5.808171,2.987419
"72","FGFRL1","ENSG00000127418",53834,67.452082,69.003514,65.93607,26.21909
"73","FXYD7","ENSG00000221946",53822,109.524953,128.991736,53.59805,24.621691
"74","GIPR","ENSG00000010310",2696,35.772452,33.606285,64.020596,21.299457
"75","GKAP1","ENSG00000165113",80318,15.233442,13.454827,11.453373,4.991265
"76","GSDMB","ENSG00000073605",55876,157.848311,151.119385,181.598267,80.195782
"77","GSTP1","ENSG00000084207",2950,83.434521,56.94346,126.696536,158.590394
"78","GTF2IRD2B","ENSG00000174428",389524,4.187332,1.907473,17.625603,20.639032
"79","GTF3C6","ENSG00000155115",112495,15.973923,23.755367,24.28089,47.025645
"80","GZMA","ENSG00000145649",3001,627.637282,793.730229,528.445385,798.285437
"81","GZMH","ENSG00000100450",2999,52.881604,32.695434,254.54267,113.216165
"82","HES7","ENSG00000179111",84667,19.292249,21.474933,2.281984,0.214545
"83","HOPX","ENSG00000171476",84525,107.023874,105.91606,152.41749,182.94701
"84","HSD17B8","ENSG00000204228",7923,72.427725,55.68581,22.943792,14.630716
"85","ICAM5","ENSG00000105376",7087,16.455388,18.231125,1.566123,0.194535
"86","IFI35","ENSG00000068079",3430,17.966831,22.317198,42.838919,50.893595
"87","IFT43","ENSG00000119650",112752,32.686956,28.989252,15.119206,10.78804
"88","IL13","ENSG00000169194",3596,2.629761,7.028442,1.939335,1.991856
"89","IL27RA","ENSG00000104998",9466,8.929853,11.521034,29.416661,50.603406
"90","IL4","ENSG00000113520",3565,5.599055,9.165839,5.72476,28.196363
"91","ISYNA1","ENSG00000105655",51477,31.805363,27.286015,16.237807,8.928164
"92","JUN","ENSG00000177606",3725,89.859992,146.082144,158.829029,143.297782
"93","KCNAB3","ENSG00000170049",9196,18.048854,17.556082,13.167617,6.192653
"94","LDLR","ENSG00000130164",3949,6.961395,7.70662,10.865646,18.148181
"95","LGALS9","ENSG00000168961",3965,3.702484,3.521635,19.425664,18.600264
"96","LIF","ENSG00000128342",3976,1.645528,4.370177,4.534749,6.624388
"97","LIME1","ENSG00000203896",54923,20.72228,34.124038,99.322037,139.724702
"98","LMNB1","ENSG00000113368",4001,36.85019,50.118888,53.977269,80.331375
"99","LMTK3","ENSG00000142235",114783,26.750071,20.292581,14.792659,3.995078
"100","LPAR5","ENSG00000184574",57121,6.194506,8.987547,17.098295,22.424599
"101","LZTFL1","ENSG00000163818",54585,21.151642,23.429192,11.955059,10.89402
"102","MAP1LC3A","ENSG00000101460",84557,1.667791,3.385239,5.803961,7.70116
"103","MAPRE3","ENSG00000084764",22924,15.682535,17.159604,4.254133,1.704025
"104","MAST1","ENSG00000105613",22983,12.676874,15.167951,2.406142,1.157612
"105","MC1R","ENSG00000258839",4157,19.730375,15.702121,26.516119,10.875803
"106","MCM5","ENSG00000100297",4174,15.242996,18.899513,15.396489,26.938848
"107","MEIS3","ENSG00000105419",56917,16.088736,11.682629,1.661264,0
"108","METRN","ENSG00000103260",79006,77.268331,40.69708,22.659342,6.53015
"109","MISP3","ENSG00000141854",113230,26.980759,21.645451,25.398013,6.023815
"110","MKI67","ENSG00000148773",4288,9.727976,24.322837,20.502975,39.903522
"111","MPDU1","ENSG00000129255",9526,7.814158,9.72001,19.272475,30.742395
"112","MRPL27","ENSG00000108826",51264,15.781204,28.943813,14.770581,33.632878
"113","MUC1","ENSG00000185499",4582,0.840973,4.100815,17.098002,4.715968
"114","NDFIP2","ENSG00000102471",54602,12.181829,27.621919,13.77804,28.765147
"115","NHEJ1","ENSG00000187736",79840,1.780378,2.954566,4.498254,7.104477
"116","NINJ2","ENSG00000171840",4815,0.897679,1.348374,4.112181,11.203925
"117","NIPSNAP3A","ENSG00000136783",25934,4.096316,5.186304,8.886801,16.162168
"118","NKG7","ENSG00000105374",4818,193.283135,156.516442,616.528121,513.495482
"119","NLGN2","ENSG00000169992",57555,15.593605,16.180848,5.639452,1.944414
"120","NQO1","ENSG00000181019",1728,5.529,11.124496,10.555486,21.422895
"121","NTNG2","ENSG00000196358",84628,29.566814,27.449097,48.137382,21.513841
"122","NUDT1","ENSG00000106268",4521,28.875342,27.382928,25.433352,37.27844
"123","NXPH4","ENSG00000182379",11247,23.124515,18.023951,12.265775,3.094533
"124","OAS3","ENSG00000111331",4940,12.676147,16.677732,18.865651,22.587986
"125","OSBPL7","ENSG00000006025",114881,118.876728,108.045655,159.659005,88.714913
"126","OSM","ENSG00000099985",5008,4.696922,9.274054,2.065183,9.533552
"127","PASK","ENSG00000115687",23178,84.702442,123.838094,134.416554,184.714831
"128","PCSK1N","ENSG00000102109",27344,25.586135,25.971153,3.801586,0.576101
"129","PDE6G","ENSG00000185527",5148,1.234115,0.932678,6.971569,12.466128
"130","PDZD4","ENSG00000067840",57595,17.535606,15.27205,3.589635,1.070574
"131","PFN2","ENSG00000070087",5217,24.773757,17.321247,8.71562,3.550481
"132","PHF19","ENSG00000119403",26147,32.148688,53.169307,57.624597,111.70665
"133","PIP5KL1","ENSG00000167103",138429,27.651332,24.094652,2.325154,1.540172
"134","PMF1","ENSG00000160783",11243,17.437705,21.27039,39.138046,76.408727
"135","POGLUT3","ENSG00000178202",143888,2.835136,4.193313,7.577109,9.04596
"136","POMT2","ENSG00000009830",29954,15.022763,24.025815,8.247452,6.582902
"137","PRC1","ENSG00000198901",9055,22.747459,23.749783,33.571022,36.75196
"138","PSMB10","ENSG00000205220",5699,39.853403,62.119685,93.536759,159.090273
"139","PTPN6","ENSG00000111679",5777,43.098269,57.640452,70.917386,92.815894
"140","PTPN7","ENSG00000143851",5778,71.120113,111.54779,211.769575,209.581282
"141","PTPRCAP","ENSG00000213402",5790,116.935413,136.902803,370.721759,466.952226
"142","PTRHD1","ENSG00000184924",391356,6.259668,8.803132,10.833679,21.019131
"143","PVRIG","ENSG00000213413",79037,18.439967,25.960151,65.90488,93.764388
"144","RABEP2","ENSG00000177548",79874,3.777939,3.199385,9.422306,23.128241
"145","RAD51","ENSG00000051180",5888,4.855753,5.147483,4.545578,6.107143
"146","RBM3","ENSG00000102317",5935,71.088498,77.803423,117.166028,207.646247
"147","RCN1","ENSG00000049449",5954,2.379948,4.052981,4.875543,6.294919
"148","RGL4","ENSG00000159496",266747,0.842849,1.587816,29.600159,37.330599
"149","RHPN1","ENSG00000158106",114822,40.901379,36.967263,21.834074,8.721419
"150","RRM2","ENSG00000171848",6241,15.019975,50.411402,19.872706,41.972528
"151","RSKR","ENSG00000167524",124923,34.312929,30.84764,27.852999,12.117647
"152","S100A4","ENSG00000196154",6275,279.494978,543.823355,716.598357,1323.996487
"153","SHLD1","ENSG00000171984",149840,3.421044,3.518132,7.448574,11.312086
"154","SLC12A5","ENSG00000124140",57468,38.967077,33.66505,12.021101,2.188298
"155","SLC27A3","ENSG00000143554",11000,5.968867,7.383039,20.0529,25.35764
"156","SLC4A11","ENSG00000088836",83959,14.869785,22.24539,3.831669,0.971017
"157","SLC6A8","ENSG00000130821",6535,14.195771,13.286597,7.150744,2.201697
"158","SNX8","ENSG00000106266",29886,7.759486,5.288123,6.976209,6.380268
"159","SOCS1","ENSG00000185338",8651,10.099005,13.896462,15.556727,12.964978
"160","SOX12","ENSG00000177732",6666,11.614422,13.659768,5.290798,2.585578
"161","SPIRE2","ENSG00000204991",84501,20.763325,18.28574,24.413525,14.413642
"162","STARD5","ENSG00000172345",80765,15.08716,15.88521,4.696676,2.480409
"163","STMN3","ENSG00000197457",50861,98.76982,70.971627,73.076149,35.342888
"164","SUSD1","ENSG00000106868",64420,1.485269,2.629173,5.428314,11.487521
"165","TAGLN","ENSG00000149591",6876,13.050705,14.365095,25.209923,13.768991
"166","TEKTIP1","ENSG00000183397",100128569,18.21452,21.549225,30.475403,11.176074
"167","TEN1","ENSG00000257949",100134934,2.938866,4.709949,9.025301,23.092465
"168","TLE2","ENSG00000065717",7089,13.780556,14.42941,5.555879,0.682641
"169","TMCC2","ENSG00000133069",9911,11.836913,11.015617,5.019002,3.131279
"170","TMEM132A","ENSG00000006118",54972,10.601789,10.968873,1.314137,1.291679
"171","TMEM198B","ENSG00000182796",440104,53.908565,67.338038,52.77488,42.584244
"172","TMEM229B","ENSG00000198133",161145,4.621196,5.935988,12.584366,19.542524
"173","TMPRSS3","ENSG00000160183",64699,14.150284,16.4727,7.081374,4.55998
"174","TNFRSF8","ENSG00000120949",943,0.308583,0.555445,0.369498,0.29578
"175","TNNT3","ENSG00000130595",7140,44.677476,34.313242,60.159423,36.316385
"176","TOGARAM2","ENSG00000189350",165186,3.618139,2.73349,15.30201,18.158501
"177","TOR4A","ENSG00000198113",54863,3.811166,5.135969,9.6065,10.125381
"178","TP53","ENSG00000141510",7157,12.42412,18.750864,25.031831,36.624424
"179","TPCN1","ENSG00000186815",53373,55.788729,57.094024,73.488498,44.699895
"180","TRIM7","ENSG00000146054",81786,10.484365,10.968851,6.656437,0.990003
"181","TRPV2","ENSG00000187688",51393,13.719954,27.671615,52.388209,89.44651
"182","TSC22D3","ENSG00000157514",1831,104.35613,117.807019,122.26659,87.629658
"183","TUBA1B","ENSG00000123416",10376,159.429708,238.992364,292.270433,385.691474
"184","TYMS","ENSG00000176890",7298,16.562921,27.858673,26.919448,47.269645
"185","UFC1","ENSG00000143222",51506,34.152597,42.421915,75.881892,145.839643
"186","VASH1","ENSG00000071246",22846,19.520787,20.271033,33.889252,18.822691
"187","VAT1","ENSG00000108828",10493,66.495241,76.847022,22.028967,14.620242
"188","WDR19","ENSG00000157796",57728,41.345853,38.432172,20.003485,14.195025
"189","WDR27","ENSG00000184465",253769,47.159121,42.42189,39.374019,19.77085
"190","WHRN","ENSG00000095397",25861,28.381737,40.290871,13.62129,21.920939
"191","WNT10B","ENSG00000169884",7480,34.792414,19.852145,12.032331,3.729887
"192","YJEFN3","ENSG00000250067",374887,23.019168,18.657323,11.84082,6.163188
"193","ZC3HC1","ENSG00000091732",51530,2.454507,3.032082,5.436047,8.268678
"194","ZDHHC11","ENSG00000188818",79844,24.022683,26.731027,8.598519,6.042394
"195","ZNF710","ENSG00000140548",374655,2.062195,2.252573,4.75536,7.830477
"196","ZNF768","ENSG00000169957",79724,20.355207,20.076376,11.395024,7.499304
"197","ZWINT","ENSG00000122952",11130,9.254838,12.934519,10.260013,18.921497
