,SYMBOL,Gene,ENTREZID,DysiNKTD1_KKU213C,DysiNKTD2_KKU213C,DysiNKTD2_SSP25,iNKTD2_D131
1,ABLIM1,ENSG00000099204,3983,129.599418,73.807816,119.89589,61.530172
2,ACOT7,ENSG00000097021,11332,6.301236,8.018356,10.165318,12.870004
3,ACRBP,ENSG00000111644,84519,8.97497,7.074548,17.093113,22.695365
4,ACTB,ENSG00000075624,60,1862.987352,3019.85347,1745.87883,1784.492912
5,ACTG1,ENSG00000184009,71,983.289147,1624.653259,843.707376,766.679257
6,AGRN,ENSG00000188157,375790,8.164943,3.615919,24.76126,35.937184
7,AK1,ENSG00000106992,203,179.579732,146.378655,120.825184,100.220572
8,ALYREF,ENSG00000183684,10189,52.011271,64.86344,64.024029,45.57071
9,ANKZF1,ENSG00000163516,55139,180.0147,116.524174,191.452034,317.229729
10,ASF1B,ENSG00000105011,55723,12.484674,12.765079,10.210084,15.899631
11,ATG2A,ENSG00000110046,23130,100.377658,70.841258,62.273105,79.087409
12,ATP6V0A1,ENSG00000033627,535,21.284781,13.15881,37.202426,32.859096
13,ATP8A1,ENSG00000124406,10396,252.171821,89.879911,90.136324,94.030043
14,BAIAP3,ENSG00000007516,8938,11.317486,14.998341,29.359588,89.286593
15,BNIP3,ENSG00000176171,664,8.557429,5.141189,9.89674,44.933044
16,C15orf48,ENSG00000166920,84419,1.742569,0.482125,31.286313,18.79419
17,C19orf33,ENSG00000167644,64073,4.041856,8.005599,45.75913,37.91921
18,C1QTNF6,ENSG00000133466,114904,50.01842,28.091487,44.661143,43.002897
19,C2orf92,ENSG00000228486,728537,22.408581,11.099442,14.203438,39.371094
20,C3,ENSG00000125730,718,1.662671,0.764864,21.18832,26.309544
21,CAMK2N1,ENSG00000162545,55450,13.27707,4.895081,26.381503,23.478887
22,CBX7,ENSG00000100307,23492,106.077461,70.586366,130.315057,113.880323
23,CCL20,ENSG00000115009,6364,7.882888,6.924741,39.909805,32.244487
24,CCNA2,ENSG00000145386,890,11.687759,19.459546,14.678556,15.342695
25,CCND1,ENSG00000110092,595,0.639462,0.299807,10.090503,31.905709
26,CD40LG,ENSG00000102245,959,66.112694,96.923957,113.811368,88.800682
27,CD70,ENSG00000125726,970,67.097094,59.754803,59.548907,43.781942
28,CD74,ENSG00000019582,972,1204.951195,1595.154625,853.070226,626.021117
29,CDCA5,ENSG00000146670,113130,13.016994,13.298298,9.363437,14.554114
30,CDK1,ENSG00000170312,983,25.108436,29.811798,23.891809,25.544715
31,CENPF,ENSG00000117724,1063,20.532787,38.003325,31.587966,12.53886
32,CENPN,ENSG00000166451,55839,10.961964,11.694499,8.551066,10.865782
33,CEP55,ENSG00000138180,55165,14.513801,22.399903,12.919976,19.845844
34,CISH,ENSG00000114737,1154,38.692198,53.423207,73.870762,56.259911
35,CKB,ENSG00000166165,1152,7.157539,1.615421,23.902866,43.29072
36,CLHC1,ENSG00000162994,130162,20.462292,12.710961,12.150303,238.939526
37,CLIC3,ENSG00000169583,9022,290.385126,217.636251,202.815874,61.171184
38,CLN6,ENSG00000128973,54982,7.486528,8.524646,6.423745,7.567412
39,COL6A1,ENSG00000142156,1291,0.693908,1.299937,5.645981,28.393605
40,COL6A2,ENSG00000142173,1292,2.979214,0.544885,2.5361,42.653511
41,COL7A1,ENSG00000114270,1294,1.160394,0.841915,5.095166,44.452717
42,CORO1A,ENSG00000102879,11151,694.392697,1037.10522,601.093045,493.091683
43,CSAD,ENSG00000139631,51380,69.451061,67.420692,111.913975,106.730305
44,CSF1,ENSG00000184371,1435,50.286284,48.894813,30.674704,28.394498
45,CST3,ENSG00000101439,1471,2.817629,3.959898,10.379556,85.883891
46,CTTN,ENSG00000085733,2017,2.52347,2.457328,10.252312,33.613182
47,CX3CR1,ENSG00000168329,1524,13.566329,6.25871,1.484769,2.640703
48,CXCL8,ENSG00000169429,3576,0,0.367398,3.558299,134.833959
49,D2HGDH,ENSG00000180902,728294,129.328617,66.599111,93.854232,119.067137
50,DAPK2,ENSG00000035664,23604,63.013772,60.601053,115.807298,67.90896
51,DBI,ENSG00000155368,1622,121.227789,167.417392,112.179881,110.049924
52,DDIT4,ENSG00000168209,54541,296.193163,152.823688,138.722921,273.448406
53,DHCR24,ENSG00000116133,1718,17.791337,15.98858,7.322436,8.534101
54,DHRS3,ENSG00000162496,9249,32.913728,12.56412,85.383625,47.963717
55,DNHD1,ENSG00000179532,144132,26.745315,12.47172,36.191693,30.328487
56,DOCK5,ENSG00000147459,80005,22.410852,5.484352,11.946886,30.37357
57,DPEP2,ENSG00000167261,64174,81.999866,112.318033,47.043444,86.780449
58,DUSP2,ENSG00000158050,1844,89.142421,76.978201,80.325271,188.989818
59,DUSP6,ENSG00000139318,1848,14.522115,24.594792,16.488907,22.782438
60,EBP,ENSG00000147155,10682,76.885034,87.306658,67.388342,64.976448
61,EFEMP2,ENSG00000172638,30008,15.255362,10.818338,28.870631,34.408998
62,EIF2B2,ENSG00000119718,8892,16.183369,22.513984,17.275346,15.480688
63,ERRFI1,ENSG00000116285,54206,1.303552,0.746613,3.120506,15.290445
64,EVA1A,ENSG00000115363,84141,0.43553,0.706339,0.25049,14.683272
65,FAAH2,ENSG00000165591,158584,4.36538,3.265331,6.482331,14.919829
66,FADS2,ENSG00000134824,9415,36.661594,51.563121,18.035965,13.094507
67,FAM13A,ENSG00000138640,10144,5.698203,2.983852,4.992661,21.668465
68,FBLN5,ENSG00000140092,10516,10.038527,4.669838,12.601115,25.648641
69,FBXL16,ENSG00000127585,146330,24.873705,15.403829,18.166407,32.315711
70,FEN1,ENSG00000168496,2237,11.328485,16.060933,9.742516,17.462101
71,FGFRL1,ENSG00000127418,53834,65.93607,26.21909,123.600154,58.92813
72,FKBP10,ENSG00000141756,60681,1.347735,2.018967,4.457839,26.732749
73,FN1,ENSG00000115414,2335,0.685358,0.800962,3.800148,50.703914
74,FOXM1,ENSG00000111206,2305,14.750217,21.63306,8.247243,15.248619
75,FSCN1,ENSG00000075618,6624,7.039845,4.639915,7.821084,21.054223
76,GDF15,ENSG00000130513,9518,0.731041,0.806905,2.256527,23.243822
77,GIPR,ENSG00000010310,2696,64.020596,21.299457,107.793128,83.052302
78,GOLGA8A,ENSG00000175265,23015,811.51008,611.323976,956.948115,1088.641846
79,GSDMB,ENSG00000073605,55876,181.598267,80.195782,232.785847,160.615716
80,GSTM2,ENSG00000213366,2946,97.279785,18.296596,50.421939,48.515146
81,GTF3C6,ENSG00000155115,112495,24.28089,47.025645,17.31959,24.788942
82,GTSE1,ENSG00000075218,51512,8.842217,18.759301,6.148764,9.389463
83,GZMA,ENSG00000145649,3001,528.445385,798.285437,816.463427,887.071571
84,H2AX,ENSG00000188486,3014,67.755195,75.740128,52.181283,69.713038
85,H2BC19P,ENSG00000220323,337874,10.466373,20.898425,14.186542,35.686406
86,H4C16,ENSG00000197837,121504,17.99817,13.365653,12.349048,34.874171
87,HAGHL,ENSG00000103253,84264,30.030509,10.687156,46.03626,43.412345
88,HILPDA,ENSG00000135245,29923,6.012984,2.941771,11.252557,32.879826
89,HOPX,ENSG00000171476,84525,152.41749,182.94701,133.632612,122.771887
90,HSBP1L1,ENSG00000226742,440498,11.399683,8.065565,16.656849,22.557421
91,HSF4,ENSG00000102878,3299,91.15048,113.695442,180.376076,133.159673
92,IDUA,ENSG00000127415,3425,30.532896,38.679248,61.914095,95.854817
93,IGFBP4,ENSG00000141753,3487,18.161021,11.062953,36.163282,157.03878
94,IGLV3-9,ENSG00000211670,28804,4.15664,9.026601,7.491407,15.86457
95,IL13,ENSG00000169194,3596,1.939335,1.991856,1.002237,6.437634
96,IL17RB,ENSG00000056736,55540,54.224946,141.892611,27.958936,43.843092
97,IL4,ENSG00000113520,3565,5.72476,28.196363,13.327397,17.525753
98,IL6ST,ENSG00000134352,3572,18.499811,22.374216,19.845441,253.125687
99,ISYNA1,ENSG00000105655,51477,16.237807,8.928164,34.856859,42.239075
100,ITIH4,ENSG00000055955,3700,16.068344,14.735154,43.576685,36.357905
101,IZUMO4,ENSG00000099840,113177,13.583935,7.901719,26.830497,56.038676
102,JAG2,ENSG00000184916,3714,39.661112,11.487184,82.253074,46.180893
103,JMJD7-PLA2G4B,ENSG00000168970,8681,39.669873,25.148095,51.995029,39.045036
104,JSRP1,ENSG00000167476,126306,25.496153,19.262209,16.36805,42.609128
105,KIAA0319L,ENSG00000142687,79932,124.690811,131.492688,118.863883,240.293989
106,KIF11,ENSG00000138160,3832,13.504188,18.892016,12.754276,12.856336
107,KIFC2,ENSG00000167702,90990,74.629716,44.06148,123.377122,117.036076
108,KLF2,ENSG00000127528,10365,59.973808,140.15678,12.311841,13.693671
109,KPNA2,ENSG00000182481,3838,29.288282,47.399821,33.80917,29.031197
110,KRT18,ENSG00000111057,3875,9.019695,9.923937,47.18112,36.55795
111,KRT8,ENSG00000170421,3856,14.050645,15.76012,52.230725,32.893628
112,LAMA5,ENSG00000130702,3911,4.144879,1.398743,22.371706,32.114933
113,LDLR,ENSG00000130164,3949,10.865646,18.148181,5.64971,8.848405
114,LMNB1,ENSG00000113368,4001,53.977269,80.331375,51.855908,38.642399
115,LYRM9,ENSG00000232859,201229,12.725956,16.048202,13.932453,22.565656
116,MC1R,ENSG00000258839,4157,26.516119,10.875803,36.391166,25.390321
117,MCM4,ENSG00000104738,4173,27.002273,30.035119,12.849177,27.028679
118,MCM5,ENSG00000100297,4174,15.396489,26.938848,13.247332,18.621015
119,MDK,ENSG00000110492,4192,2.853909,2.281029,20.880914,103.686741
120,MKI67,ENSG00000148773,4288,20.502975,39.903522,13.758689,18.289295
121,MMP14,ENSG00000157227,4323,2.593808,1.441531,8.999882,71.510779
122,MPDU1,ENSG00000129255,9526,19.272475,30.742395,14.515387,17.584249
123,MRNIP,ENSG00000161010,51149,76.345658,48.2925,69.876167,96.478675
124,MSMO1,ENSG00000052802,6307,32.423364,19.857082,24.937492,19.307125
125,MST1,ENSG00000173531,4485,21.25143,16.85656,23.326544,28.065054
126,MYBL2,ENSG00000101057,4605,7.283728,8.766243,4.91001,12.288248
127,NCDN,ENSG00000020129,23154,100.627082,139.531159,55.556798,213.319469
128,NKG7,ENSG00000105374,4818,616.528121,513.495482,334.239368,294.714902
129,NLGN2,ENSG00000169992,57555,5.639452,1.944414,13.458337,16.400116
130,NOL3,ENSG00000140939,8996,20.919478,30.030722,42.472452,54.857086
131,NRROS,ENSG00000174004,375387,6.271695,11.715389,11.619647,9.31017
132,NT5E,ENSG00000135318,4907,2.639173,3.497366,1.57994,14.198116
133,NTNG2,ENSG00000196358,84628,48.137382,21.513841,48.270484,52.537496
134,NUDT1,ENSG00000106268,4521,25.433352,37.27844,16.263459,33.512391
135,OAS3,ENSG00000111331,4940,18.865651,22.587986,48.175034,18.319244
136,OSM,ENSG00000099985,5008,2.065183,9.533552,0.732472,2.254569
137,P4HA1,ENSG00000122884,5033,27.434585,10.107393,21.921979,66.673542
138,PAN2,ENSG00000135473,9924,102.177702,98.280655,115.327991,170.429747
139,PASK,ENSG00000115687,23178,134.416554,184.714831,93.552478,235.820564
140,PCLAF,ENSG00000166803,9768,30.106381,35.518921,18.522589,43.166829
141,PCNA,ENSG00000132646,5111,110.101857,120.352731,98.778076,125.996441
142,PDE9A,ENSG00000160191,5152,18.250958,13.655903,22.091361,26.056093
143,PFKFB4,ENSG00000114268,5210,6.292339,1.031871,6.24232,36.947802
144,PFN2,ENSG00000070087,5217,8.71562,3.550481,18.169554,37.106083
145,PGGHG,ENSG00000142102,80162,161.510304,148.24346,183.633372,358.404997
146,PHLDA2,ENSG00000181649,7262,4.473393,5.439388,7.947777,52.666391
147,PIK3R1,ENSG00000145675,5295,263.650992,192.550105,89.716009,259.127634
148,PLCH2,ENSG00000149527,9651,67.594281,54.439771,85.280321,88.074457
149,PLEK,ENSG00000115956,5341,47.393313,34.028756,24.605585,32.328162
150,PLK2,ENSG00000145632,10769,2.556514,0.694909,6.761124,17.949618
151,PLK4,ENSG00000142731,10733,8.557488,14.657142,7.447046,8.826251
152,PLXDC1,ENSG00000161381,57125,23.139795,1.935366,16.040471,26.161165
153,PLXND1,ENSG00000004399,23129,345.654995,246.971306,142.101265,200.771241
154,PMF1,ENSG00000160783,11243,39.138046,76.408727,21.004424,29.793621
155,PNPLA7,ENSG00000130653,375775,13.25645,9.593227,35.610379,33.606475
156,PODXL,ENSG00000128567,5420,0.262838,0.307943,4.039734,14.739353
157,POU6F1,ENSG00000184271,5463,7.050792,4.293672,16.463855,20.954944
158,PPFIA4,ENSG00000143847,8497,3.915061,1.207542,2.82392,57.338427
159,PRR11,ENSG00000068489,55771,13.547613,19.511235,22.719673,16.735896
160,PSAT1,ENSG00000135069,29968,5.924379,9.206375,5.491526,9.922822
161,RAB13,ENSG00000143545,5872,1.253683,0.408105,21.91381,100.409632
162,RAI14,ENSG00000039560,26064,0.84413,0.640791,3.373133,29.18213
163,RBM3,ENSG00000102317,5935,117.166028,207.646247,81.38759,93.089314
164,RGPD5,ENSG00000015568,84220,7.50687,1.763536,26.984562,22.022097
165,RGS2,ENSG00000116741,5997,88.635533,102.669215,35.31912,116.569081
166,RHPN1,ENSG00000158106,114822,21.834074,8.721419,34.506186,39.948799
167,RPL21P16,ENSG00000220842,729402,189.555411,111.761775,943.127169,823.766514
168,RRM1,ENSG00000167325,6240,25.872647,43.231537,23.694079,23.33166
169,RRM2,ENSG00000171848,6241,19.872706,41.972528,13.677915,39.839152
170,S100A11,ENSG00000163191,6282,548.954645,913.785328,611.79604,407.843394
171,S100A4,ENSG00000196154,6275,716.598357,1323.996487,271.504542,394.69312
172,S1PR1,ENSG00000170989,1901,64.417368,104.601088,41.610801,17.633135
173,SELENOM,ENSG00000198832,140606,26.059411,17.802533,34.359074,55.768479
174,SELL,ENSG00000188404,6402,9.502677,41.024792,8.77009,8.287938
175,SGSM2,ENSG00000141258,9905,210.261781,134.504895,207.846827,188.539048
176,SH3D21,ENSG00000214193,79729,18.190153,10.603427,20.575531,31.854319
177,SIRT3,ENSG00000142082,23410,36.02702,34.034884,43.068276,65.419914
178,SLC25A29,ENSG00000197119,123096,19.208706,36.703808,85.603845,85.879145
179,SLC4A11,ENSG00000088836,83959,3.831669,0.971017,3.379957,22.153773
180,SMC2,ENSG00000136824,10592,10.615823,14.527062,8.142809,10.677302
181,SNAI3,ENSG00000185669,333929,56.950704,39.672397,27.888245,47.6986
182,SNRPD1,ENSG00000167088,6632,16.053667,31.372173,18.104441,17.705002
183,SNX8,ENSG00000106266,29886,6.976209,6.380268,5.654965,8.567555
184,SPIRE2,ENSG00000204991,84501,24.413525,14.413642,17.712309,29.18886
185,SPP1,ENSG00000118785,6696,0.275224,0,40.40131,18.193898
186,STMN3,ENSG00000197457,50861,73.076149,35.342888,102.288895,68.893969
187,TAGLN,ENSG00000149591,6876,25.209923,13.768991,40.467223,27.147846
188,TCF7,ENSG00000081059,6932,32.950797,33.393817,45.342575,61.06257
189,TEN1,ENSG00000257949,100134934,9.025301,23.092465,5.01572,6.01307
190,TFAP2E,ENSG00000116819,339488,12.248769,8.380359,14.049503,25.516224
191,TGFBI,ENSG00000120708,7045,2.077777,1.124238,14.678272,38.320427
192,TMEM132A,ENSG00000006118,54972,1.314137,1.291679,3.656509,47.638991
193,TMEM198B,ENSG00000182796,440104,52.77488,42.584244,69.908181,70.431169
194,TNFAIP3,ENSG00000118503,7128,621.166762,454.802243,405.026431,398.260555
195,TNFRSF9,ENSG00000049249,3604,1.954802,2.056569,1.852913,36.967565
196,TNNT3,ENSG00000130595,7140,60.159423,36.316385,108.115104,54.341025
197,TOP2A,ENSG00000131747,7153,40.614184,49.256412,38.2515,38.322418
198,TP53I11,ENSG00000175274,9537,16.226341,11.911153,93.814145,64.061317
199,TPBG,ENSG00000146242,7162,1.258424,0.347204,3.861249,24.244548
200,TPCN1,ENSG00000186815,53373,73.488498,44.699895,88.461381,78.170208
201,TPM1,ENSG00000140416,7168,16.296471,16.068071,53.568764,47.217042
202,TPM2,ENSG00000198467,7169,36.346224,32.882289,44.017184,90.70743
203,TPM4,ENSG00000167460,7171,123.32152,216.903103,174.5746,151.509661
204,TPX2,ENSG00000088325,22974,20.2202,31.265816,20.407147,23.986976
205,TRBV10-3,ENSG00000275791,28583,0.732602,6.156584,13.562492,20.489386
206,TRBV23-1,ENSG00000211749,28564,8.738987,15.474362,19.563952,29.8348
207,TRBV7-7,ENSG00000253291,28591,0,4.0722,16.00687,48.555125
208,TRGV2,ENSG00000233306,6974,102.450842,134.578482,68.597143,54.439674
209,TRIM73,ENSG00000178809,375593,37.990343,24.392409,54.2453,34.146003
210,TSC22D1,ENSG00000102804,8848,21.496193,5.576127,16.227525,24.960461
211,TSC22D3,ENSG00000157514,1831,122.26659,87.629658,72.07049,96.688319
212,TUBA1B,ENSG00000123416,10376,292.270433,385.691474,182.682438,273.605531
213,TYMS,ENSG00000176890,7298,26.919448,47.269645,13.35395,45.838493
214,UBE2C,ENSG00000175063,11065,33.598538,50.644413,30.903696,32.813525
215,UNKL,ENSG00000059145,64718,94.806236,74.661989,104.129352,122.170853
216,UPK3BL2,ENSG00000284981,107983993,33.302586,28.714368,36.501639,49.213479
217,VEGFA,ENSG00000112715,7422,8.99333,1.632325,14.794519,96.230445
218,WDR27,ENSG00000184465,253769,39.374019,19.77085,67.061494,63.030888
219,WDR76,ENSG00000092470,79968,13.311838,14.883057,12.405437,10.313242
220,WLS,ENSG00000116729,79971,0.332021,0.121922,1.669893,15.924672
221,WNT10B,ENSG00000169884,7480,12.032331,3.729887,55.605078,23.570984
222,WNT11,ENSG00000085741,7481,4.176367,1.634866,3.074532,16.392222
223,ZBTB25,ENSG00000089775,7597,64.487428,40.762429,61.531915,86.768337
224,ZNF320,ENSG00000182986,162967,4.335517,4.882853,8.725919,17.420635
225,ZNF395,ENSG00000186918,55893,31.647632,22.642666,26.270928,43.257707
226,ZNF83,ENSG00000167766,55769,108.52893,98.419669,211.016539,172.109487
227,ZWINT,ENSG00000122952,11130,10.260013,18.921497,8.636224,18.045437